id.yr.season,start,end
2HN_2018_spring,2018-03-18,2018-05-05
2HN_2018_fall,2018-09-01,2018-09-22
2HP_2016_fall,2016-07-25,2016-10-10
2HP_2018_spring,2018-04-23,2018-05-17
2HP_2018_fall,2018-08-23,2018-08-31
9FC_2017_fall,2017-09-10,2017-09-16
Arpacay_2012_fall,2012-08-29,2012-09-26
Asparuh_2013_fall,2013-09-04,2013-09-10
Belgin_2018_fall,2018-09-14,2018-09-17
Berenice_2013_fall,2013-08-30,2013-09-12
Camaces_2017_fall,2017-09-07,2017-09-11
Endoia_2017_fall,2017-09-03,2017-09-11
Ibrahim_2013_fall,2013-09-06,2013-09-15
Ikaros_2012_fall,2012-08-28,2012-09-04
Iliaz_2014_spring,2014-03-29,2014-06-17
Iliaz_2015_spring,2015-04-09,2015-05-12
Iliaz_2015_fall,2015-06-03,2015-11-02
Ilina_2013_fall,2013-09-18,2013-10-03
Kapchug_2017_fall,2017-09-20,2017-09-26
Katerina_2013_fall,2013-09-13,2013-09-18
Levkipos_2014_spring,2014-04-30,2014-06-22
Levkipos_2014_fall,2014-06-22,1899-01-01
Lomets_2016_fall,2016-09-06,2016-09-14
Macedonia_2011_fall,2011-09-09,2011-09-19
Maria_2016_fall,2016-09-25,2016-10-09
Panteley_2018_fall,2018-09-18,2018-12-01
Redcliff_2013_fall,2013-09-14,2013-09-21
Regina_2016_fall,2016-09-02,2016-09-09
Sarygush_2017_fall,2017-09-07,2017-09-22
Svetlina_2014_spring,2014-05-24,2014-06-10
Akaga_2018_fall,2018-08-25,2018-09-21
Amud_2018_fall,2018-09-18,2018-11-13
Aoos_2015_fall,2015-09-04,2015-10-01
Aoos_2016_fall,2016-09-21,2016-10-09
Aoos_2017_fall,2017-09-13,2017-10-04
Aoos_2017_spring,2017-03-08,2017-04-13
Aoos_2018_fall,2018-08-13,2018-09-04
Aoos_2018_spring,2018-03-04,2018-04-05
Armenia2_2015_fall,2015-08-31,2015-10-11
Armenia3_2015_fall,2015-09-20,2015-10-09
